mode	numPoints	correct	avgTime	ratio	perImprov	avgFST3	avgFST4
3+Precise	50	1.0	0.271733126	0.9845247742823324	0.0154752257176676	13	0
3+Precise	50	1.0	0.0347607899999999	0.975644154407335	0.024355845592665	13	0
3+Precise	50	1.0	0.035189592	0.9735166370555784	0.0264833629444216	15	0
3+Precise	50	0.9545454545454546	0.2259239219999997	0.9843841582247492	0.0156158417752506	13	0
3+Precise	50	0.9782608695652174	0.0340116319999999	0.9822451869759456	0.0177548130240544	14	0
3+Precise	50	1.0	0.2191463800000002	0.9815970215037744	0.0184029784962255	14	0
3+Precise	50	1.0	0.031590081	0.9886821557814268	0.011317844218573	11	0
3+Precise	50	1.0	0.0391214620000002	0.9779378446675702	0.0220621553324298	19	0
3+Precise	50	1.0	0.0352196209999999	0.9779952987233174	0.0220047012766826	13	0
3+Precise	50	0.9565217391304348	0.0349196120000003	0.9841470286061272	0.0158529713938726	14	0
3+Precise	50	1.0	0.0307668810000003	0.9891891010680286	0.0108108989319714	11	0
3+Precise	50	1.0	0.0540268460000001	0.978249622454781	0.021750377545219	14	0
3+Precise	50	1.0	0.4078120579999997	0.9836933626234644	0.0163066373765357	15	0
3+Precise	50	1.0	0.0382613609999999	0.9762033632416672	0.0237966367583326	15	0
3+Precise	50	1.0	0.0339820399999997	0.9829093455584018	0.0170906544415981	14	0
3+Precise	50	1.0	0.4159856939999997	0.979243380330215	0.020756619669785	13	0
3+Precise	50	1.0	0.4121910069999996	0.9840559803711252	0.0159440196288748	14	0
3+Precise	50	0.9772727272727272	0.0392289310000002	0.973202670569156	0.0267973294308441	13	0
3+Precise	50	0.9772727272727272	0.0339066319999998	0.9780064589361251	0.0219935410638748	14	0
3+Precise	50	1.0	0.0335255409999994	0.97289733995149	0.02710266004851	14	0
3+Precise	50	0.9777777777777776	0.0422803119999999	0.9673724885732164	0.0326275114267836	15	0
3+Precise	50	1.0	0.0690666689999996	0.9573474529237472	0.0426525470762527	17	0
3+Precise	50	1.0	0.0314136009999996	0.9840093032533548	0.0159906967466453	12	0
3+Precise	50	1.0	0.2190770149999998	0.97766866531033	0.02233133468967	15	0
3+Precise	50	1.0	0.2259310510000007	0.9855928902433164	0.0144071097566836	11	0
3+Precise	50	0.9545454545454546	0.4224838569999996	0.9750723717616496	0.0249276282383504	16	0
3+Precise	50	0.9782608695652174	0.2195107839999996	0.980023301464116	0.019976698535884	13	0
3+Precise	50	0.9777777777777776	0.0373957520000001	0.9806089083296974	0.0193910916703026	12	0
3+Precise	50	1.0	0.0383721320000001	0.9787339776766928	0.0212660223233071	15	0
3+Precise	50	0.9787234042553192	0.0336518110000003	0.9688737951354834	0.0311262048645165	14	0
3+Precise	50	0.9777777777777776	0.4298797360000002	0.9756580191955424	0.0243419808044574	15	0
3+Precise	50	0.9777777777777776	0.2276163989999995	0.9693032053677856	0.0306967946322144	13	0
3+Precise	50	1.0	0.0381832609999994	0.9905285626624426	0.0094714373375573	14	0
3+Precise	50	1.0	0.0353049220000007	0.9709415935914898	0.0290584064085102	14	0
3+Precise	50	1.0	0.2287468070000002	0.974450727391552	0.025549272608448	15	0
3+Precise	50	1.0	0.4150805420000001	0.9820482590956496	0.0179517409043502	14	0
3+Precise	50	1.0	0.0376080809999992	0.984896263773286	0.015103736226714	15	0
3+Precise	50	0.9565217391304348	0.4154541939999987	0.988067937254966	0.011932062745034	13	0
3+Precise	50	0.9565217391304348	0.2285062510000006	0.9846262789096502	0.0153737210903498	15	0
3+Precise	50	1.0	0.0381737319999988	0.9725049671720656	0.0274950328279344	15	0
3+Precise	50	1.0	0.2209942649999998	0.9862196593763384	0.0137803406236617	15	0
3+Precise	50	0.9333333333333332	0.2268723549999993	0.9782075784231312	0.0217924215768686	15	0
3+Precise	50	1.0	0.2304073990000006	0.9851471467274237	0.0148528532725763	14	0
